customer_id,age,gender,region
2001,59,Male,West
2002,45,Other,East
2003,33,Female,East
2004,32,Other,North
2005,64,Male,Central
2006,61,Male,West
2007,20,Female,South
2008,54,Other,East
2009,24,Other,North
2010,38,Female,North
2011,26,Other,West
2012,56,Other,East
2013,35,Male,Central
2014,21,Other,East
2015,42,Other,West
2016,31,Female,West
2017,26,Female,East
2018,43,Male,West
2019,19,Other,East
2020,37,Other,South
2021,45,Other,East
2022,64,Male,East
2023,24,Male,West
2024,61,Female,West
2025,25,Male,North
2026,64,Other,North
2027,52,Other,South
2028,31,Male,North
2029,34,Other,East
2030,53,Other,West
2031,57,Male,North
2032,21,Male,North
2033,19,Other,South
2034,23,Other,South
2035,59,Other,East
2036,21,Female,West
2037,46,Female,South
2038,35,Female,North
2039,43,Male,West
2040,61,Female,West
2041,51,Male,North
2042,27,Male,South
2043,53,Female,North
2044,31,Female,West
2045,48,Female,Central
2046,32,Other,Central
2047,25,Female,East
2048,31,Other,North
2049,40,Male,North
2050,57,Other,East
2051,38,Female,East
2052,33,Male,East
2053,62,Male,West
2054,35,Male,North
2055,64,Other,West
2056,41,Female,East
2057,43,Male,North
2058,42,Male,West
2059,62,Male,West
2060,58,Other,East
2061,46,Other,North
2062,32,Female,East
2063,62,Other,North
2064,18,Male,Central
2065,42,Female,South
2066,24,Male,South
2067,26,Male,South
2068,41,Other,East
2069,18,Female,Central
2070,61,Other,North
2071,25,Other,West
2072,41,Female,North
2073,28,Male,West
2074,34,Male,North
2075,25,Female,Central
2076,52,Male,West
2077,52,Female,East
2078,50,Female,North
2079,22,Other,North
2080,59,Female,West
2081,56,Other,East
2082,58,Male,East
2083,45,Male,Central
2084,24,Male,East
2085,26,Male,East
2086,25,Other,East
2087,29,Male,South
2088,51,Female,Central
2089,50,Female,North
2090,40,Female,West
2091,41,Other,North
2092,54,Male,Central
2093,52,Male,West
2094,61,Male,Central
2095,57,Other,East
2096,39,Female,West
2097,44,Female,East
2098,52,Male,North
2099,18,Female,North
2100,52,Female,West
